company,position,location,schedule,responsibilities,requirements,levels,techstack,source,format,salary,currency,salary_range,format2,levels2
GameSport,Cистемный администратор Linux / DevОps инженер,Санкт-Петербург,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['Linux', 'Python', 'Docker', 'Kubernetes', 'Nginx', 'ClickHouse', 'Redis', 'SQL', 'PostgreSQL', 'Zabbix', 'Bash', 'Ansible', 'Ubuntu Server', 'MySQL', 'Администрирование', 'Ubuntu', 'AWS', 'Администрирование серверов Linux', 'Proxmox']",hh.ru,Удаленная работа,120000.0,RUB,200000,удаленка,От 3 до 6 лет
СБЕР,Cloud solution architect,Москва,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
WebMasters Russia,Бизнес-аналитик / Технический писатель / Аналитик (Опыт в IT),Санкт-Петербург,Полный день,не определено,не определено,От 1 года до 3 лет,"['Atlassian Jira', 'Atlassian Confluence', 'Linux', 'Управление проектами', 'Системный анализ', 'бизнес аналитик', 'Веб-аналитика', 'Проектирование пользовательских интерфейсов', 'Постановка задач разработчикам', 'Бизнес-анализ', 'Подготовка презентаций', 'Техническая документация', 'Работа в команде', 'Разработка технических заданий', 'Тестирование пользовательского интерфейса', 'Обучение и развитие', 'API', 'Проектный менеджмент']",hh.ru,Полный день,120000.0,RUB,200000,не указано,От 1 года до 3 лет
Клауд Солюшенс,Архитектор ML,Москва,Полный день,не определено,не определено,Более 6 лет,"['Machine Learning', 'ML', 'numpy', 'pandas', 'matplotlib', 'seaborn', 'TensorFlow', 'CNTK', 'Keras', 'PyTorch', 'Caffe', 'Nvidia TLT']",hh.ru,Полный день,0.0,не определено,0,не указано,От 6 лет
Factory5,Frontend developer,Казань,Удаленная работа,не определено,не определено,От 1 года до 3 лет,"['JavaScript', 'Java', 'CSS', 'Sass', 'Less']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 1 года до 3 лет
QSOFT,Контент менеджер/райтер IT,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Adobe Photoshop', 'SMM', 'Таргетинг', 'Социальные сети', 'Графические редакторы']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
QSOFT,SMM-менеджер IT,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['SMM', 'Adobe Photoshop', 'Креативность', 'Реклама', 'Развитие бренда']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
СБЕР,Product owner (HR платформа),Москва,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Kameleoon,Разработчик Devops / Junior Devops,Москва,Удаленная работа,не определено,не определено,От 1 года до 3 лет,"['devops', 'Java', 'ansible', 'docker', 'vagrant', 'spring', 'Linux', 'CentOS', 'Kubernetes']",hh.ru,Удаленная работа,110000.0,RUB,200000,удаленка,От 1 года до 3 лет
QSOFT,Маркетолог (IT),Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Интернет-реклама', 'SEO', 'Adobe Photoshop', 'Контекстная реклама', 'Internet Marketing']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
